"Phường Xã","province_id","district_id"
"Xã Sơn Vĩ","348","1049"
"Xã Tả Lủng","348","1049"
"Xã Cán Chu Phìn","348","1049"
"Xã Lũng Pù","348","1049"
"Xã Lũng Chinh","348","1049"
"Xã Tát Ngà","348","1049"
"Xã Nậm Ban","348","1049"
"Xã Khâu Vai","348","1049"
"Xã Niêm Tòng","348","1049"
"Xã Niêm Sơn","348","1049"
"Thị trấn Yên Minh","348","1050"
"Xã Thắng Mố","348","1050"
"Xã Phú Lũng","348","1050"
"Xã Sủng Tráng","348","1050"
"Xã Bạch Đích","348","1050"
"Xã Na Khê","348","1050"
"Xã Sủng Thài","348","1050"
"Xã Hữu Vinh","348","1050"
"Xã Lao Và Chải","348","1050"
"Xã Mậu Duệ","348","1050"
"Xã Đông Minh","348","1050"
"Xã Mậu Long","348","1050"
"Xã Ngam La","348","1050"
"Xã Ngọc Long","348","1050"
"Xã Đường Thượng","348","1050"
"Xã Lũng Hồ","348","1050"
"Xã Du Tiến","348","1050"
"Xã Du Già","348","1050"
"Thị trấn Tam Sơn","348","1051"
"Xã Bát Đại Sơn","348","1051"
"Xã Nghĩa Thuận","348","1051"
"Xã Cán Tỷ","348","1051"
"Xã Cao Mã Pờ","348","1051"
"Xã Thanh Vân","348","1051"
"Xã Tùng Vài","348","1051"
"Xã Đông Hà","348","1051"
"Xã Quản Bạ","348","1051"
"Xã Lùng Tám","348","1051"
"Xã Quyết Tiến","348","1051"
"Xã Tả Ván","348","1051"
"Xã Thái An","348","1051"
"Xã Kim Thạch","348","1052"
"Xã Phú Linh","348","1052"
"Xã Kim Linh","348","1052"
"Thị trấn Vị Xuyên","348","1052"
"Thị trấn Nông Trường Việt Lâm","348","1052"
"Xã Minh Tân","348","1052"
"Xã Thuận Hoà","348","1052"
"Xã Tùng Bá","348","1052"
"Xã Thanh Thủy","348","1052"
"Xã Thanh Đức","348","1052"
"Xã Phong Quang","348","1052"
"Xã Xín Chải","348","1052"
"Xã Phương Tiến","348","1052"
"Xã Lao Chải","348","1052"
"Xã Cao Bồ","348","1052"
"Xã Đạo Đức","348","1052"
"Xã Thượng Sơn","348","1052"
"Xã Linh Hồ","348","1052"
"Xã Quảng Ngần","348","1052"
"Xã Việt Lâm","348","1052"
"Xã Ngọc Linh","348","1052"
"Xã Ngọc Minh","348","1052"
"Xã Bạch Ngọc","348","1052"
"Xã Trung Thành","348","1052"
"Xã Minh Sơn","348","1053"
"Xã Giáp Trung","348","1053"
"Xã Yên Định","348","1053"
"Thị trấn Yên Phú","348","1053"
"Xã Minh Ngọc","348","1053"
"Xã Yên Phong","348","1053"
"Xã Lạc Nông","348","1053"
"Xã Phú Nam","348","1053"
"Xã Yên Cường","348","1053"
"Xã Thượng Tân","348","1053"
"Xã Đường Âm","348","1053"
"Xã Đường Hồng","348","1053"
"Xã Phiêng Luông","348","1053"
"Thị trấn Vinh Quang","348","1054"
"Xã Bản Máy","348","1054"
"Xã Thàng Tín","348","1054"
"Xã Thèn Chu Phìn","348","1054"
"Xã Pố Lồ","348","1054"
"Xã Bản Phùng","348","1054"
"Xã Túng Sán","348","1054"
"Xã Chiến Phố","348","1054"
"Xã Đản Ván","348","1054"
"Xã Tụ Nhân","348","1054"
"Xã Tân Tiến","348","1054"
"Xã Nàng Đôn","348","1054"
"Xã Pờ Ly Ngài","348","1054"
"Xã Sán Xả Hồ","348","1054"
"Xã Bản Luốc","348","1054"
"Xã Ngàm Đăng Vài","348","1054"
"Xã Bản Nhùng","348","1054"
"Xã Tả Sử Choóng","348","1054"
"Xã Nậm Dịch","348","1054"
"Xã Bản Péo","348","1054"
